epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.311,0.77123,2.26675,1.29653,0.00333,1,0.995,0.87731,0.45581,2.8107,0.99945,0.00018,0.00018,0.00018
2,77.0692,0.53287,1.12273,1.07768,0.99211,1,0.995,0.87936,0.47693,2.59008,1.01094,0.00035492,0.00035492,0.00035492
3,116.466,0.51701,0.9908,1.08847,0.98673,1,0.995,0.89426,0.43816,2.13853,0.96822,0.00050344,0.00050344,0.00050344
4,154.644,0.55261,0.93407,1.11842,0.99452,1,0.995,0.89557,0.51042,2.1259,1.10766,0.00062556,0.00062556,0.00062556
5,192.133,0.52942,0.88019,1.08595,0.99391,1,0.995,0.93125,0.40601,1.7183,0.96374,0.00072128,0.00072128,0.00072128
6,230.016,0.43211,1.31522,1.04511,1,0.98954,0.995,0.87482,0.51737,2.38681,1.03012,0.0007906,0.0007906,0.0007906
7,268.096,0.36753,1.18597,0.97772,0.99981,1,0.995,0.93933,0.47508,1.80502,1.00969,0.00083352,0.00083352,0.00083352
8,305.994,0.32426,1.02485,0.9385,0.99495,1,0.995,0.94992,0.38857,1.46926,0.9515,0.00085004,0.00085004,0.00085004
9,344.013,0.32513,0.92332,0.93964,0.998,1,0.995,0.94005,0.34553,1.21839,0.89987,0.00084016,0.00084016,0.00084016
10,381.816,0.30967,0.89853,0.94773,0.99816,1,0.995,0.95242,0.32061,1.06773,0.84418,0.00080388,0.00080388,0.00080388
11,420.972,0.30562,0.85341,0.92839,0.99809,1,0.995,0.9507,0.33798,0.98472,0.87702,0.00068,0.00068,0.00068
12,458.027,0.27008,0.79583,0.92224,0.99818,1,0.995,0.96733,0.28187,0.9075,0.82087,0.000548,0.000548,0.000548
13,496.681,0.27126,0.7648,0.91441,0.99804,1,0.995,0.97582,0.27346,0.85986,0.81151,0.000416,0.000416,0.000416
14,537.269,0.24676,0.72716,0.872,0.99786,1,0.995,0.995,0.24209,0.88165,0.78868,0.000284,0.000284,0.000284
15,619.564,0.21458,0.70356,0.88669,0.99804,1,0.995,0.995,0.20808,0.81125,0.76953,0.000152,0.000152,0.000152
